stimuli_presented,interlocutor_id,name,context_type,silly_or_annoying,sarc,witty,z_silly_or_annoying,z_sarc,z_witty,int1_crit_harsher,int2_crit_softer,int3_mock_hilarious,int4_mock_friendly,int5_natural,int6_direct,int7_be_nice,int8_clever,generally_sarcastic,sarc_def1,sarc_def2,sarc_def3,sarc_def4,sarc_def5,experiment
4n,38,4n_38,n,6,2,2,1.382400601,-0.497856296,-0.606966792,1,0,0,0,1,1,0,0,5,4,2,5,2,5,generation
5n,38,5n_38,n,4,3,3,0.218273779,0.051502375,0.019579574,0,0,0,1,0,0,0,0,5,4,2,5,2,5,generation
6n,38,6n_38,n,2,5,5,-0.945853043,1.150219718,1.272672305,0,0,1,1,0,0,0,0,5,4,2,5,2,5,generation
1nn,10,1nn_10,nn,3,5,4,-0.143567761,2.548018782,2.570502516,0,1,0,1,0,0,0,0,4,4,4,4,3,4,generation
2nn,10,2nn_10,nn,2,1,1,-0.909262489,-0.618451161,-0.593192888,0,0,0,0,1,0,1,0,4,4,4,4,3,4,generation
3nn,10,3nn_10,nn,2,5,3,-0.909262489,2.548018782,1.515937381,0,1,0,1,1,0,0,0,4,4,4,4,3,4,generation
4nn,10,4nn_10,nn,2,2,2,-0.909262489,0.173166325,0.461372246,0,0,0,1,1,0,0,0,4,4,4,4,3,4,generation
5nn,10,5nn_10,nn,4,1,1,0.622126966,-0.618451161,-0.593192888,0,1,0,0,0,1,0,0,4,4,4,4,3,4,generation
6nn,10,6nn_10,nn,4,2,1,0.622126966,0.173166325,-0.593192888,0,1,0,1,0,1,0,0,4,4,4,4,3,4,generation
7nn,10,7nn_10,nn,4,1,1,0.622126966,-0.618451161,-0.593192888,0,1,0,0,0,1,0,0,4,4,4,4,3,4,generation
8nn,10,8nn_10,nn,4,2,2,0.622126966,0.173166325,0.461372246,0,1,0,0,0,0,0,0,4,4,4,4,3,4,generation
9nn,10,9nn_10,nn,4,1,1,0.622126966,-0.618451161,-0.593192888,0,1,0,0,0,1,0,0,4,4,4,4,3,4,generation
10nn,10,10nn_10,nn,5,1,1,1.387821694,-0.618451161,-0.593192888,1,0,0,0,0,1,0,0,4,4,4,4,3,4,generation
11nn,10,11nn_10,nn,4,3,3,0.622126966,0.964783811,1.515937381,0,1,0,0,0,0,0,0,4,4,4,4,3,4,generation
12nn,10,12nn_10,nn,5,4,3,1.387821694,1.756401297,1.515937381,0,1,0,1,0,0,0,0,4,4,4,4,3,4,generation
13nn,10,13nn_10,nn,2,1,1,-0.909262489,-0.618451161,-0.593192888,0,0,0,0,0,1,0,0,4,4,4,4,3,4,generation
10n,10,10n_10,n,5,1,1,1.387821694,-0.618451161,-0.593192888,0,1,0,0,1,1,0,0,4,4,4,4,3,4,generation
15nn,10,15nn_10,nn,4,2,3,0.622126966,0.173166325,1.515937381,0,1,0,1,0,0,0,0,4,4,4,4,3,4,generation
16nn,10,16nn_10,nn,4,2,2,0.622126966,0.173166325,0.461372246,0,1,0,1,0,1,0,0,4,4,4,4,3,4,generation
11n,10,11n_10,n,1,1,1,-1.674957217,-0.618451161,-0.593192888,0,0,0,0,1,0,1,0,4,4,4,4,3,4,generation
12n,10,12n_10,n,3,2,2,-0.143567761,0.173166325,0.461372246,0,1,0,1,0,0,0,0,4,4,4,4,3,4,generation
13n,10,13n_10,n,1,1,1,-1.674957217,-0.618451161,-0.593192888,0,0,0,0,1,0,1,0,4,4,4,4,3,4,generation
14n,10,14n_10,n,4,1,1,0.622126966,-0.618451161,-0.593192888,0,0,0,0,1,0,1,0,4,4,4,4,3,4,generation
15n,10,15n_10,n,1,1,1,-1.674957217,-0.618451161,-0.593192888,0,0,0,0,1,0,1,0,4,4,4,4,3,4,generation
16n,10,16n_10,n,3,1,1,-0.143567761,-0.618451161,-0.593192888,0,0,0,0,1,0,0,0,4,4,4,4,3,4,generation
7n,10,7n_10,n,5,4,1,1.387821694,1.756401297,-0.593192888,1,0,0,0,0,1,0,0,4,4,4,4,3,4,generation
8n,10,8n_10,n,4,1,1,0.622126966,-0.618451161,-0.593192888,0,1,0,0,0,1,0,0,4,4,4,4,3,4,generation
9n,10,9n_10,n,1,1,1,-1.674957217,-0.618451161,-0.593192888,0,0,0,0,0,0,1,0,4,4,4,4,3,4,generation
14nn,10,14nn_10,nn,4,1,1,0.622126966,-0.618451161,-0.593192888,0,1,0,0,1,1,0,0,4,4,4,4,3,4,generation
1n,10,1n_10,n,1,1,1,-1.674957217,-0.618451161,-0.593192888,0,0,0,0,1,1,0,0,4,4,4,4,3,4,generation
2n,10,2n_10,n,3,4,4,-0.143567761,1.756401297,2.570502516,0,1,0,1,0,0,0,1,4,4,4,4,3,4,generation
3n,10,3n_10,n,4,1,1,0.622126966,-0.618451161,-0.593192888,0,1,0,0,0,0,1,0,4,4,4,4,3,4,generation
4n,10,4n_10,n,3,1,1,-0.143567761,-0.618451161,-0.593192888,0,1,0,0,1,0,1,0,4,4,4,4,3,4,generation
5n,10,5n_10,n,4,1,1,0.622126966,-0.618451161,-0.593192888,0,0,0,1,0,1,0,0,4,4,4,4,3,4,generation
6n,10,6n_10,n,2,1,1,-0.909262489,-0.618451161,-0.593192888,0,0,0,0,1,0,1,0,4,4,4,4,3,4,generation
1nn,23,1nn_23,nn,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,1,0,0,0,0,3,3,5,6,2,2,generation
2nn,23,2nn_23,nn,4,5,6,0.794578049,2.958022907,4.541404348,1,0,0,0,0,0,0,0,3,3,5,6,2,2,generation
3nn,23,3nn_23,nn,1,1,3,-0.731011805,-0.613929283,1.575589263,0,1,0,0,0,1,0,0,3,3,5,6,2,2,generation
4nn,23,4nn_23,nn,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,0,1,0,0,0,3,3,5,6,2,2,generation
5nn,23,5nn_23,nn,1,3,1,-0.731011805,1.172046812,-0.401620793,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
6nn,23,6nn_23,nn,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,1,0,1,0,0,3,3,5,6,2,2,generation
7nn,23,7nn_23,nn,2,1,1,-0.222481854,-0.613929283,-0.401620793,0,0,0,0,1,0,0,0,3,3,5,6,2,2,generation
8nn,23,8nn_23,nn,2,4,1,-0.222481854,2.06503486,-0.401620793,0,0,0,1,0,1,0,0,3,3,5,6,2,2,generation
9nn,23,9nn_23,nn,6,1,2,1.811637951,-0.613929283,0.586984235,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
10nn,23,10nn_23,nn,6,1,1,1.811637951,-0.613929283,-0.401620793,1,0,0,0,0,0,0,0,3,3,5,6,2,2,generation
11nn,23,11nn_23,nn,1,1,2,-0.731011805,-0.613929283,0.586984235,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
12nn,23,12nn_23,nn,3,1,1,0.286048097,-0.613929283,-0.401620793,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
13nn,23,13nn_23,nn,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
10n,23,10n_23,n,5,2,3,1.303108,0.279058765,1.575589263,0,1,0,0,0,1,0,0,3,3,5,6,2,2,generation
15nn,23,15nn_23,nn,3,2,1,0.286048097,0.279058765,-0.401620793,1,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
16nn,23,16nn_23,nn,4,2,1,0.794578049,0.279058765,-0.401620793,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
11n,23,11n_23,n,1,2,1,-0.731011805,0.279058765,-0.401620793,0,0,1,0,0,0,0,0,3,3,5,6,2,2,generation
12n,23,12n_23,n,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
13n,23,13n_23,n,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,0,1,0,0,0,3,3,5,6,2,2,generation
14n,23,14n_23,n,1,2,1,-0.731011805,0.279058765,-0.401620793,0,0,0,1,0,1,0,0,3,3,5,6,2,2,generation
15n,23,15n_23,n,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
16n,23,16n_23,n,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,0,1,0,0,0,3,3,5,6,2,2,generation
7n,23,7n_23,n,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
8n,23,8n_23,n,6,2,1,1.811637951,0.279058765,-0.401620793,1,0,0,0,0,0,0,0,3,3,5,6,2,2,generation
9n,23,9n_23,n,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,0,0,0,1,0,3,3,5,6,2,2,generation
14nn,23,14nn_23,nn,6,1,1,1.811637951,-0.613929283,-0.401620793,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
1n,23,1n_23,n,1,1,1,-0.731011805,-0.613929283,-0.401620793,0,0,0,0,1,0,0,0,3,3,5,6,2,2,generation
2n,23,2n_23,n,1,4,2,-0.731011805,2.06503486,0.586984235,0,0,1,0,0,0,0,0,3,3,5,6,2,2,generation
3n,23,3n_23,n,6,1,1,1.811637951,-0.613929283,-0.401620793,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
4n,23,4n_23,n,5,2,1,1.303108,0.279058765,-0.401620793,0,0,0,0,0,1,0,0,3,3,5,6,2,2,generation
5n,23,5n_23,n,2,1,1,-0.222481854,-0.613929283,-0.401620793,0,0,0,0,1,0,0,0,3,3,5,6,2,2,generation
6n,23,6n_23,n,1,4,2,-0.731011805,2.06503486,0.586984235,0,0,1,1,0,0,0,0,3,3,5,6,2,2,generation
1nn,6,1nn_6,nn,6,4,3,0.899856883,0.240490792,0.400534167,1,0,0,0,0,0,0,0,6,2,1,4,3,4,generation
2nn,6,2nn_6,nn,6,6,5,0.899856883,1.202453959,1.621209725,0,0,1,0,0,0,0,0,6,2,1,4,3,4,generation
3nn,6,3nn_6,nn,6,6,4,0.899856883,1.202453959,1.010871946,0,0,1,0,0,0,0,0,6,2,1,4,3,4,generation
4nn,6,4nn_6,nn,6,3,2,0.899856883,-0.240490792,-0.209803611,0,0,0,0,0,1,0,0,6,2,1,4,3,4,generation
5nn,6,5nn_6,nn,6,6,1,0.899856883,1.202453959,-0.82014139,1,0,0,0,0,0,0,0,6,2,1,4,3,4,generation
6nn,6,6nn_6,nn,4,1,1,-0.11050874,-1.202453959,-0.82014139,0,0,0,0,1,0,0,0,6,2,1,4,3,4,generation
7nn,6,7nn_6,nn,6,1,1,0.899856883,-1.202453959,-0.82014139,1,0,0,0,0,0,0,0,6,2,1,4,3,4,generation
8nn,6,8nn_6,nn,4,6,2,-0.11050874,1.202453959,-0.209803611,0,0,1,0,0,0,0,0,6,2,1,4,3,4,generation
9nn,6,9nn_6,nn,6,6,5,0.899856883,1.202453959,1.621209725,0,0,1,0,0,0,0,0,6,2,1,4,3,4,generation
10nn,6,10nn_6,nn,6,4,1,0.899856883,0.240490792,-0.82014139,0,0,0,0,0,1,0,0,6,2,1,4,3,4,generation
11nn,6,11nn_6,nn,4,5,1,-0.11050874,0.721472375,-0.82014139,0,0,0,0,0,1,0,0,6,2,1,4,3,4,generation
12nn,6,12nn_6,nn,5,5,4,0.394674072,0.721472375,1.010871946,0,0,0,0,0,1,0,0,6,2,1,4,3,4,generation
13nn,6,13nn_6,nn,1,1,1,-1.626057175,-1.202453959,-0.82014139,0,0,0,0,1,0,0,0,6,2,1,4,3,4,generation
10n,6,10n_6,n,5,4,1,0.394674072,0.240490792,-0.82014139,0,0,0,0,0,1,0,0,6,2,1,4,3,4,generation
15nn,6,15nn_6,nn,6,5,1,0.899856883,0.721472375,-0.82014139,1,0,0,1,1,0,0,0,6,2,1,4,3,4,generation
16nn,6,16nn_6,nn,6,5,1,0.899856883,0.721472375,-0.82014139,1,0,0,0,1,1,0,0,6,2,1,4,3,4,generation
11n,6,11n_6,n,1,1,1,-1.626057175,-1.202453959,-0.82014139,0,0,0,0,1,0,0,0,6,2,1,4,3,4,generation
12n,6,12n_6,n,3,5,4,-0.615691552,0.721472375,1.010871946,0,0,0,1,0,0,0,0,6,2,1,4,3,4,generation
13n,6,13n_6,n,1,1,1,-1.626057175,-1.202453959,-0.82014139,0,0,0,0,1,0,0,0,6,2,1,4,3,4,generation
14n,6,14n_6,n,4,4,3,-0.11050874,0.240490792,0.400534167,0,0,0,1,1,1,0,0,6,2,1,4,3,4,generation
15n,6,15n_6,n,1,1,1,-1.626057175,-1.202453959,-0.82014139,0,0,0,0,1,0,0,0,6,2,1,4,3,4,generation
16n,6,16n_6,n,1,1,1,-1.626057175,-1.202453959,-0.82014139,0,0,0,0,1,0,0,0,6,2,1,4,3,4,generation
7n,6,7n_6,n,4,1,1,-0.11050874,-1.202453959,-0.82014139,0,0,0,0,1,0,0,0,6,2,1,4,3,4,generation
8n,6,8n_6,n,6,4,4,0.899856883,0.240490792,1.010871946,0,0,1,0,0,0,0,0,6,2,1,4,3,4,generation
9n,6,9n_6,n,1,1,1,-1.626057175,-1.202453959,-0.82014139,0,0,0,0,1,0,0,0,6,2,1,4,3,4,generation
14nn,6,14nn_6,nn,6,6,4,0.899856883,1.202453959,1.010871946,1,0,0,0,0,1,0,0,6,2,1,4,3,4,generation
1n,6,1n_6,n,1,1,1,-1.626057175,-1.202453959,-0.82014139,0,0,0,0,1,0,0,0,6,2,1,4,3,4,generation
2n,6,2n_6,n,4,3,4,-0.11050874,-0.240490792,1.010871946,0,0,0,0,0,0,0,1,6,2,1,4,3,4,generation
3n,6,3n_6,n,6,6,3,0.899856883,1.202453959,0.400534167,1,0,0,0,0,0,0,0,6,2,1,4,3,4,generation
4n,6,4n_6,n,3,2,1,-0.615691552,-0.721472375,-0.82014139,0,0,0,0,0,1,0,0,6,2,1,4,3,4,generation
5n,6,5n_6,n,4,6,5,-0.11050874,1.202453959,1.621209725,0,0,1,0,0,0,0,0,6,2,1,4,3,4,generation
6n,6,6n_6,n,6,1,6,0.899856883,-1.202453959,2.231547504,0,0,0,0,0,0,0,1,6,2,1,4,3,4,generation
1nn,11,1nn_11,nn,1,6,6,-0.376427631,3.009804272,3.451403782,0,0,0,1,0,0,0,0,5,1,6,6,1,6,generation
2nn,11,2nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
3nn,11,3nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
4nn,11,4nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,0,0,0,1,5,1,6,6,1,6,generation
5nn,11,5nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
6nn,11,6nn_11,nn,4,4,4,2.204790409,1.633893748,1.906719572,0,0,0,0,0,0,0,1,5,1,6,6,1,6,generation
7nn,11,7nn_11,nn,6,1,1,3.925602435,-0.429972039,-0.410306743,1,0,0,0,0,0,0,0,5,1,6,6,1,6,generation
8nn,11,8nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
9nn,11,9nn_11,nn,4,2,1,2.204790409,0.257983223,-0.410306743,0,1,0,0,0,0,0,0,5,1,6,6,1,6,generation
10nn,11,10nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
11nn,11,11nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
12nn,11,12nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,0,0,1,0,5,1,6,6,1,6,generation
13nn,11,13nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
10n,11,10n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
15nn,11,15nn_11,nn,2,4,4,0.483978382,1.633893748,1.906719572,0,0,0,1,0,0,0,0,5,1,6,6,1,6,generation
16nn,11,16nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
11n,11,11n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
12n,11,12n_11,n,1,6,4,-0.376427631,3.009804272,1.906719572,0,0,0,1,0,0,0,0,5,1,6,6,1,6,generation
13n,11,13n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
14n,11,14n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
15n,11,15n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
16n,11,16n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
7n,11,7n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
8n,11,8n_11,n,3,4,4,1.344384396,1.633893748,1.906719572,0,0,0,1,0,0,0,0,5,1,6,6,1,6,generation
9n,11,9n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
14nn,11,14nn_11,nn,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
1n,11,1n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
2n,11,2n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
3n,11,3n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
4n,11,4n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
5n,11,5n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
6n,11,6n_11,n,1,1,1,-0.376427631,-0.429972039,-0.410306743,0,0,0,0,1,0,0,0,5,1,6,6,1,6,generation
1nn,18,1nn_18,nn,1,6,6,-1.25494269,1.197820616,1.373871877,0,0,0,1,0,0,0,0,5,4,3,5,1,6,generation
2nn,18,2nn_18,nn,5,6,6,0.778382175,1.197820616,1.373871877,0,0,0,1,0,0,0,0,5,4,3,5,1,6,generation
3nn,18,3nn_18,nn,2,6,6,-0.746611474,1.197820616,1.373871877,0,0,1,1,0,0,0,0,5,4,3,5,1,6,generation
4nn,18,4nn_18,nn,6,6,6,1.286713391,1.197820616,1.373871877,0,0,1,1,0,0,0,0,5,4,3,5,1,6,generation
5nn,18,5nn_18,nn,5,2,2,0.778382175,-0.671948151,-0.517048556,0,0,0,0,0,1,0,0,5,4,3,5,1,6,generation
6nn,18,6nn_18,nn,6,6,6,1.286713391,1.197820616,1.373871877,0,0,0,0,0,1,0,0,5,4,3,5,1,6,generation
7nn,18,7nn_18,nn,6,3,3,1.286713391,-0.204505959,-0.044318448,0,1,0,0,0,0,0,0,5,4,3,5,1,6,generation
8nn,18,8nn_18,nn,4,2,2,0.270050959,-0.671948151,-0.517048556,0,0,0,0,1,0,1,0,5,4,3,5,1,6,generation
9nn,18,9nn_18,nn,5,6,5,0.778382175,1.197820616,0.901141769,0,1,1,1,0,0,0,0,5,4,3,5,1,6,generation
10nn,18,10nn_18,nn,1,1,1,-1.25494269,-1.139390342,-0.989778664,0,0,0,0,1,0,0,0,5,4,3,5,1,6,generation
11nn,18,11nn_18,nn,2,4,5,-0.746611474,0.262936233,0.901141769,0,0,0,0,1,0,1,0,5,4,3,5,1,6,generation
12nn,18,12nn_18,nn,5,3,2,0.778382175,-0.204505959,-0.517048556,0,1,0,0,0,1,0,0,5,4,3,5,1,6,generation
13nn,18,13nn_18,nn,2,5,4,-0.746611474,0.730378425,0.428411661,0,0,1,1,0,0,0,0,5,4,3,5,1,6,generation
10n,18,10n_18,n,6,1,1,1.286713391,-1.139390342,-0.989778664,0,0,0,0,1,1,0,0,5,4,3,5,1,6,generation
15nn,18,15nn_18,nn,5,2,1,0.778382175,-0.671948151,-0.989778664,0,1,0,0,0,0,0,0,5,4,3,5,1,6,generation
16nn,18,16nn_18,nn,4,4,3,0.270050959,0.262936233,-0.044318448,0,1,0,0,0,1,0,0,5,4,3,5,1,6,generation
11n,18,11n_18,n,1,1,1,-1.25494269,-1.139390342,-0.989778664,0,0,0,0,1,1,1,0,5,4,3,5,1,6,generation
12n,18,12n_18,n,3,6,5,-0.238280258,1.197820616,0.901141769,0,0,1,1,0,0,0,0,5,4,3,5,1,6,generation
13n,18,13n_18,n,1,1,1,-1.25494269,-1.139390342,-0.989778664,0,0,0,0,1,0,0,0,5,4,3,5,1,6,generation
14n,18,14n_18,n,1,1,1,-1.25494269,-1.139390342,-0.989778664,0,0,0,0,1,1,0,0,5,4,3,5,1,6,generation
15n,18,15n_18,n,1,1,1,-1.25494269,-1.139390342,-0.989778664,0,0,0,0,1,0,0,0,5,4,3,5,1,6,generation
16n,18,16n_18,n,1,1,1,-1.25494269,-1.139390342,-0.989778664,0,0,0,0,1,1,0,0,5,4,3,5,1,6,generation
7n,18,7n_18,n,2,1,1,-0.746611474,-1.139390342,-0.989778664,0,0,0,0,1,0,0,0,5,4,3,5,1,6,generation
8n,18,8n_18,n,5,1,1,0.778382175,-1.139390342,-0.989778664,0,0,0,0,0,1,0,0,5,4,3,5,1,6,generation
9n,18,9n_18,n,1,6,1,-1.25494269,1.197820616,-0.989778664,0,0,0,0,0,0,1,0,5,4,3,5,1,6,generation
14nn,18,14nn_18,nn,6,2,1,1.286713391,-0.671948151,-0.989778664,0,1,0,0,0,0,0,0,5,4,3,5,1,6,generation
1n,18,1n_18,n,1,5,5,-1.25494269,0.730378425,0.901141769,0,0,1,1,0,0,0,0,5,4,3,5,1,6,generation
2n,18,2n_18,n,4,6,6,0.270050959,1.197820616,1.373871877,0,0,1,1,0,0,0,0,5,4,3,5,1,6,generation
3n,18,3n_18,n,5,5,5,0.778382175,0.730378425,0.901141769,0,1,0,0,0,0,0,0,5,4,3,5,1,6,generation
4n,18,4n_18,n,4,3,3,0.270050959,-0.204505959,-0.044318448,0,1,0,0,0,0,0,0,5,4,3,5,1,6,generation
5n,18,5n_18,n,6,6,6,1.286713391,1.197820616,1.373871877,0,0,1,1,0,0,0,0,5,4,3,5,1,6,generation
6n,18,6n_18,n,4,1,1,0.270050959,-1.139390342,-0.989778664,0,0,0,0,0,0,1,0,5,4,3,5,1,6,generation
1nn,28,1nn_28,nn,2,5,5,-0.898494111,1.409524201,1.446325019,1,0,0,1,0,0,0,1,5,2,5,5,2,5,generation
2nn,28,2nn_28,nn,4,5,4,0.539096466,1.409524201,0.461593091,0,1,1,1,0,0,0,1,5,2,5,5,2,5,generation
3nn,28,3nn_28,nn,2,5,5,-0.898494111,1.409524201,1.446325019,0,0,1,1,0,0,0,1,5,2,5,5,2,5,generation
4nn,28,4nn_28,nn,4,4,2,0.539096466,0.384415691,-1.507870764,0,1,0,0,1,1,0,0,5,2,5,5,2,5,generation
5nn,28,5nn_28,nn,4,4,4,0.539096466,0.384415691,0.461593091,1,0,0,1,1,1,0,0,5,2,5,5,2,5,generation
6nn,28,6nn_28,nn,4,3,3,0.539096466,-0.640692819,-0.523138837,1,0,0,1,1,1,0,0,5,2,5,5,2,5,generation
7nn,28,7nn_28,nn,5,3,3,1.257891755,-0.640692819,-0.523138837,1,0,0,0,0,1,0,1,5,2,5,5,2,5,generation
8nn,28,8nn_28,nn,3,4,5,-0.179698822,0.384415691,1.446325019,0,1,0,1,1,0,1,0,5,2,5,5,2,5,generation
9nn,28,9nn_28,nn,3,4,4,-0.179698822,0.384415691,0.461593091,0,1,0,0,1,0,0,0,5,2,5,5,2,5,generation
10nn,28,10nn_28,nn,5,3,3,1.257891755,-0.640692819,-0.523138837,0,1,0,0,0,1,0,0,5,2,5,5,2,5,generation
11nn,28,11nn_28,nn,5,3,3,1.257891755,-0.640692819,-0.523138837,1,0,0,0,0,1,0,0,5,2,5,5,2,5,generation
12nn,28,12nn_28,nn,2,4,4,-0.898494111,0.384415691,0.461593091,0,1,0,1,0,0,1,0,5,2,5,5,2,5,generation
13nn,28,13nn_28,nn,2,3,3,-0.898494111,-0.640692819,-0.523138837,0,1,0,0,0,1,0,0,5,2,5,5,2,5,generation
10n,28,10n_28,n,5,3,3,1.257891755,-0.640692819,-0.523138837,1,0,0,0,0,1,0,0,5,2,5,5,2,5,generation
15nn,28,15nn_28,nn,5,4,4,1.257891755,0.384415691,0.461593091,1,0,0,0,0,1,0,0,5,2,5,5,2,5,generation
16nn,28,16nn_28,nn,4,4,4,0.539096466,0.384415691,0.461593091,0,1,0,0,0,1,0,0,5,2,5,5,2,5,generation
11n,28,11n_28,n,1,2,2,-1.617289399,-1.665801329,-1.507870764,0,0,0,0,0,1,1,0,5,2,5,5,2,5,generation
12n,28,12n_28,n,2,5,5,-0.898494111,1.409524201,1.446325019,0,1,1,1,0,0,0,0,5,2,5,5,2,5,generation
13n,28,13n_28,n,4,4,4,0.539096466,0.384415691,0.461593091,0,0,0,0,0,1,1,0,5,2,5,5,2,5,generation
14n,28,14n_28,n,4,4,4,0.539096466,0.384415691,0.461593091,0,0,0,0,0,1,1,0,5,2,5,5,2,5,generation
15n,28,15n_28,n,3,2,2,-0.179698822,-1.665801329,-1.507870764,0,0,0,0,1,1,1,0,5,2,5,5,2,5,generation
16n,28,16n_28,n,2,2,2,-0.898494111,-1.665801329,-1.507870764,0,0,0,0,1,1,1,0,5,2,5,5,2,5,generation
7n,28,7n_28,n,5,4,4,1.257891755,0.384415691,0.461593091,1,0,1,1,1,1,0,0,5,2,5,5,2,5,generation
8n,28,8n_28,n,4,2,2,0.539096466,-1.665801329,-1.507870764,0,1,0,0,0,1,1,0,5,2,5,5,2,5,generation
9n,28,9n_28,n,1,4,4,-1.617289399,0.384415691,0.461593091,0,0,0,0,1,1,1,0,5,2,5,5,2,5,generation
14nn,28,14nn_28,nn,4,5,5,0.539096466,1.409524201,1.446325019,1,0,0,0,0,1,0,0,5,2,5,5,2,5,generation
1n,28,1n_28,n,1,2,3,-1.617289399,-1.665801329,-0.523138837,0,0,0,0,1,1,0,0,5,2,5,5,2,5,generation
2n,28,2n_28,n,1,5,5,-1.617289399,1.409524201,1.446325019,0,0,0,0,1,0,1,1,5,2,5,5,2,5,generation
3n,28,3n_28,n,4,3,2,0.539096466,-0.640692819,-1.507870764,0,1,0,0,1,1,0,0,5,2,5,5,2,5,generation
4n,28,4n_28,n,5,4,4,1.257891755,0.384415691,0.461593091,1,0,0,0,1,1,0,0,5,2,5,5,2,5,generation
5n,28,5n_28,n,2,4,3,-0.898494111,0.384415691,-0.523138837,0,0,0,1,1,0,0,0,5,2,5,5,2,5,generation
6n,28,6n_28,n,2,3,3,-0.898494111,-0.640692819,-0.523138837,0,1,0,0,0,0,1,0,5,2,5,5,2,5,generation
1nn,52,1nn_52,nn,2,6,4,-0.237170825,1.417632312,0.838645558,0,1,0,1,0,0,0,0,5,3,3,5,2,5,generation
